instance,method,total_distance,cost,processing_time,num_vehicles,mean_route_length,std_route_length,min_route_length,max_route_length,mean_customers_per_route,std_customers_per_route,min_customers_per_route,max_customers_per_route,coef_variation_length,distance_per_second,cost_per_second
vpr301_10_2_results.json,clarke_wright_savings,198675.39,166887.33,0.07453393936157227,10,19867539.153712906,6644818.10089653,11617040.344860503,32086015.24555668,30.0,7.810249675906654,19,43,0.3344560214270284,2665569.4265159396,2239078.350473485
vpr301_10_2_results.json,genetic_algorithm,96897.28,81393.71,152.1294825077057,10,9689727.629523281,2394231.089189969,5897963.617529469,13790552.050177254,30.0,0.0,30,30,0.24708961703888072,636.9395228508184,535.029165013279
vpr301_10_2_results.json,grasp,189601.09,159264.92,73.44655776023865,10,18960109.02168841,1242201.0805060656,16545198.326737065,20705431.81496632,30.0,0.0,30,30,0.0655165578998051,2581.4836771376,2168.446348703089
vpr301_10_2_results.json,nearest_neighbor_algorithm,216889.32,182187.03,0.004998683929443359,10,21688932.37267085,2501244.275488325,18897688.103181988,26740352.540546425,30.0,0.0,30,30,0.1153235314911129,43389284.67200611,36446999.36454832
vpr301_11_1_results.json,clarke_wright_savings,208642.52,175259.72,0.10453486442565918,11,18967501.92131943,6633259.692885846,11365457.169613784,30936719.746519905,27.272727272727273,9.554541129659086,16,45,0.34971709613642254,1995913.2404899977,1676567.1526233947
vpr301_11_1_results.json,genetic_algorithm,110820.89,93089.55,155.06508779525757,11,10074626.216347175,2646372.3390971012,5737512.070027425,15389799.60467907,27.272727272727273,0.4453617714151233,27,28,0.26267697503288756,714.6733773260681,600.325652431269
vpr301_11_1_results.json,grasp,197960.65,166286.95,55.94067335128784,11,17996422.917599138,1028621.1082049212,15692480.788187284,19540175.669378903,27.272727272727273,0.4453617714151233,27,28,0.05715697574538592,3538.760585824136,2972.558963596598
vpr301_11_1_results.json,nearest_neighbor_algorithm,232042.52,194915.72,0.00450444221496582,11,21094774.953359675,2804375.4030030826,17428746.88574732,26989271.268460184,27.272727272727273,0.4453617714151233,27,28,0.1329417075651922,51514151.79199068,43271888.215682
vpr301_14_2_results.json,clarke_wright_savings,213696.58,179505.13,0.09153962135314941,14,15264041.59784123,4148135.3942548856,4930918.415753742,19634647.79113898,21.428571428571427,3.133101742780187,17,28,0.27175865367410623,2334470.8754647668,1960955.565978252
vpr301_14_2_results.json,genetic_algorithm,119568.21,100437.3,191.79245448112488,14,8540586.480226053,3444546.695835355,2908614.0513504334,17933536.057368062,21.428571428571427,0.4948716593053935,21,22,0.40331500697410944,623.4249951254847,523.6770146756971
vpr301_14_2_results.json,grasp,225768.82,189645.81,27.30035710334778,14,16126344.642135512,1182005.5105069058,13834920.51504807,18287633.27224079,21.428571428571427,0.4948716593053935,21,22,0.07329655521676735,8269.811971518662,6946.642100031145
vpr301_14_2_results.json,nearest_neighbor_algorithm,267513.54,224711.38,0.0039997100830078125,14,19108110.29744226,2341431.1695052455,14982539.692655101,22448364.47709326,21.428571428571427,0.4948716593053935,21,22,0.12253598775901249,66883232.646409154,56181917.02309967
vpr401_14_2_results.json,clarke_wright_savings,269932.74,226743.5,0.14875435829162598,14,19280909.97034096,9059702.254540944,9087510.541520787,35970361.490441725,28.571428571428573,11.456216563909033,17,54,0.469879392024397,1814620.7149830828,1524281.389829802
vpr401_14_2_results.json,genetic_algorithm,133806.29,112397.28,213.80169320106506,14,9557592.204497844,3998011.9124788097,3209158.2199443877,18435640.97820515,28.571428571428573,0.4948716593053935,28,29,0.41830743841501505,625.842985603322,525.7080910687572
vpr401_14_2_results.json,grasp,258832.6,217419.39,88.4404513835907,14,18488043.199660957,979519.377559933,17334602.09043708,20998984.949125376,28.571428571428573,0.4948716593053935,28,29,0.05298123587129523,2926.631376827459,2458.3704243773245
vpr401_14_2_results.json,nearest_neighbor_algorithm,316953.16,266240.65,0.00700068473815918,14,22639511.13284533,2305232.417699811,18325362.97264258,25589703.452341817,28.571428571428573,0.4948716593053935,28,29,0.10182341854349439,45274594.10825324,38030658.42242278
vpr401_15_1_results.json,clarke_wright_savings,263781.53,221576.49,0.1701948642730713,15,17585435.48318937,7287482.676941477,9177437.034341205,32807934.305988185,26.666666666666668,9.540556703999101,15,45,0.414404447584359,1549879.4932893652,1301898.8025660329
vpr401_15_1_results.json,genetic_algorithm,119280.28,100195.43,217.02650666236877,15,7952018.5309063895,2184420.9672068027,4949700.886023456,13763397.287484337,26.666666666666668,0.4714045207910317,26,27,0.2747001857096801,549.6115743390093,461.67369848456093
vpr401_15_1_results.json,grasp,273204.95,229492.16,56.63990616798401,15,18213663.53815545,926364.1522398154,16409043.788182933,19610789.968132924,26.666666666666668,0.4714045207910317,26,27,0.05086094570151651,4823.541712617287,4051.775073909314
vpr401_15_1_results.json,nearest_neighbor_algorithm,309218.43,259743.48,0.006006717681884766,15,20614561.66903017,1928415.7739613887,17449214.28145639,23669379.370691236,26.666666666666668,0.4714045207910317,26,27,0.09354629047769186,51478768.66804477,43242165.48138128
vpr401_16_1_results.json,clarke_wright_savings,258909.91,217484.32,0.16615557670593262,16,16181869.382436845,6354831.7861799095,9244163.659208287,30583421.48200853,25.0,9.103570728016562,17,49,0.39271308128819715,1558237.858355046,1308919.774537033
vpr401_16_1_results.json,genetic_algorithm,118501.0,99540.84,217.9893867969513,16,7406312.421796443,1672542.6660275303,4075733.870282077,10556698.888602328,25.0,0.0,25,25,0.22582664229844163,543.6090340965962,456.6315886411408
vpr401_16_1_results.json,grasp,280262.09,235420.15,53.3475284576416,16,17516380.416224577,1224782.3456208266,14736461.926334267,20183544.22764911,25.0,0.0,25,25,0.06992211384529934,5253.515919158852,4412.953267121375
vpr401_16_1_results.json,nearest_neighbor_algorithm,323384.95,271643.36,0.005997419357299805,16,20211559.39789646,1970838.5705824494,16539993.935883667,23386478.344790988,25.0,0.0,25,25,0.09751046575790517,53920683.3363069,45293374.33597455
vpr401_16_2_results.json,clarke_wright_savings,273495.3,229736.05,0.14356541633605957,16,17093456.05202616,8433849.039596422,6671530.774065565,34193627.391523145,25.0,8.426149773176359,13,44,0.4933963625569284,1905022.1632750263,1600218.6032200903
vpr401_16_2_results.json,genetic_algorithm,124768.08,104805.19,218.8674120903015,16,7798005.002050086,3251578.3250060873,3310820.5284957676,17999363.951120358,25.0,0.0,25,25,0.4169756654620318,570.0623898660733,478.85242028063504
vpr401_16_2_results.json,grasp,276784.56,232499.03,51.35653281211853,16,17299034.907443527,1242401.5422066331,14908499.391727671,19327141.021319803,25.0,0.0,25,25,0.07181912452653907,5389.4713066511285,4527.1558897982595
vpr401_16_2_results.json,nearest_neighbor_algorithm,318535.82,267570.09,0.005001544952392578,16,19908489.052886732,2009346.339304521,17275535.154577367,24298066.019705087,25.0,0.0,25,25,0.10092912294683487,63687485.173480794,53497487.78564973
vpr501_17_2_results.json,clarke_wright_savings,307524.8,258320.84,0.2250819206237793,17,18089694.357876953,6797081.79663711,8460021.42955004,33768578.45895199,29.41176470588235,10.375643557811454,19,53,0.37574331893990226,1366279.4379386099,1147674.7634110472
vpr501_17_2_results.json,genetic_algorithm,137323.56,115351.79,280.93856382369995,17,8077856.381133443,1897662.338489113,5360232.200817009,11563111.123570334,29.41176470588235,0.49215295678475035,29,30,0.2349215248393464,488.80281201329115,410.5943606673657
vpr501_17_2_results.json,grasp,307094.52,257959.4,119.71807765960693,17,18064383.436415795,881131.6104104528,16555188.664033933,20129670.799586795,29.41176470588235,0.49215295678475035,29,30,0.04877728672622112,2565.147436406041,2154.723873310538
vpr501_17_2_results.json,nearest_neighbor_algorithm,364478.78,306162.18,0.006987333297729492,17,21439928.39074753,1870857.0793219921,18606607.373131167,24782254.448705297,29.41176470588235,0.49215295678475035,29,30,0.08726041641675289,52162787.21360494,43816741.9463855
vpr501_21_1_results.json,clarke_wright_savings,327569.62,275158.48,0.2204282283782959,21,15598553.457944544,4424512.167281806,10802976.9957359,27914946.26162659,23.80952380952381,5.670466912992075,16,40,0.28364887675070566,1486060.2129316647,1248290.575233299
vpr501_21_1_results.json,genetic_algorithm,143999.17,120959.3,285.0722966194153,21,6857103.184090985,2287522.3604680016,3081101.665334498,12271732.365163397,23.80952380952381,0.392676726249301,23,24,0.33359894098943005,505.1321075658417,424.31096053323716
vpr501_21_1_results.json,grasp,358086.32,300792.51,55.592050075531006,21,17051729.3528203,1142447.1907530406,14872837.454022376,18811633.826939978,23.80952380952381,0.392676726249301,23,24,0.06699890475121127,6441.322446527524,5410.710876668941
vpr501_21_1_results.json,nearest_neighbor_algorithm,401749.58,337469.65,0.006998538970947266,21,19130932.413555846,1606837.3946504097,16263150.807202283,22606358.60935575,23.80952380952381,0.392676726249301,23,24,0.08399158806874633,57404778.57846699,48220014.40599578
vpr501_22_1_results.json,clarke_wright_savings,353895.44,297272.17,0.26920318603515625,22,16086156.47620173,4660615.909797407,4148117.403608346,25747670.38763132,22.727272727272727,5.223911963112233,8,30,0.289728370894094,1314603.460724954,1104266.9084948278
vpr501_22_1_results.json,genetic_algorithm,195643.84,164340.82,286.1274833679199,22,8892901.714076048,3375105.2853802345,2478647.75758505,19116448.94074653,22.727272727272727,0.4453617714151233,22,23,0.3795280094052968,683.764585272046,574.3622320568231
vpr501_22_1_results.json,grasp,368972.1,309936.57,58.16510510444641,22,16771459.270429647,1204612.527118673,14234428.188998919,18755767.489589047,22.727272727272727,0.4453617714151233,22,23,0.07182514697707719,6343.530185967016,5328.565459366926
vpr501_22_1_results.json,nearest_neighbor_algorithm,421803.52,354314.96,0.0069997310638427734,22,19172887.176544115,2358162.3622504454,14958934.441259857,24919561.90133658,22.727272727272727,0.4453617714151233,22,23,0.12299464032393585,60259960.86890153,50618367.58703771
